code,scode,fileName,fileToMerge
262,000,2024-05-15_19-08-24_2024-05-15_19-08-24.gpx,
263,000,2024-05-15_19-19-23_2024-05-15_19-19-23.gpx,
264,000,2024-05-15_19-20-05_2024-05-15_19-20-05.gpx,
265,000,2024-05-16_17-05-22_2024-05-16_17-05-22.gpx,
266,000,2024-05-16_17-21-40_2024-05-16_17-21-40.gpx,
268,269,2024-05-16_17-45-39_2024-05-16_17-45-39.gpx,2024-05-16_17-46-06_2024-05-16_17-46-06.gpx
270,000,2024-05-16_18-25-47_2024-05-16_18-25-47.gpx,
271,000,2024-05-16_18-40-04_2024-05-16_18-40-04.gpx,
272,273,2024-05-16_18-54-26_2024-05-16_18-54-26.gpx,2024-05-16_18-54-37_2024-05-16_18-54-37.gpx
274,275,2024-05-16_19-06-19_2024-05-16_19-06-19.gpx,2024-05-16_19-06-21_2024-05-16_19-06-21.gpx
275,275,2024-05-16_19-06-21_2024-05-16_19-06-21.gpx,2024-05-16_19-06-21_2024-05-16_19-06-21.gpx
276,000,2024-05-16_19-14-21_2024-05-16_19-14-21.gpx,
277,000,2024-05-16_19-18-55_2024-05-16_19-18-55.gpx,
278,000,2024-05-16_19-25-36_2024-05-16_19-25-36.gpx,
279,000,2024-05-17_15-54-13_2024-05-17_15-54-13.gpx,
280,000,2024-05-17_15-55-40_2024-05-17_15-55-40.gpx,
281,000,2024-05-17_16-17-53_2024-05-17_16-17-53.gpx,
284,000,2024-05-17_16-44-19_2024-05-17_16-44-19.gpx,
285,000,2024-05-17_17-19-01_2024-05-17_17-19-01.gpx,
286,000,2024-05-17_18-11-06_2024-05-17_18-11-06.gpx,
287,000,2024-05-17_18-27-58_2024-05-17_18-27-58.gpx,
288,000,2024-05-17_18-37-35_2024-05-17_18-37-35.gpx,
289,000,2024-05-17_18-44-35_2024-05-17_18-44-35.gpx,
290,000,2024-05-17_18-59-14_2024-05-17_18-59-14.gpx,
291,000,2024-05-17_19-01-22_2024-05-17_19-01-22.gpx,
293,000,2024-05-20_07-39-28_ciclorrota_lindolfo_collor_2024-05-20_07-39-28.gpx,
294,295,2024-05-20_08-01-22_Ciclofaixa_Lindolfo_Collor_2024-05-20_08-01-22.gpx,2024-05-20_08-01-26_ciclofaixa_lindolfo_collor_2024-05-20_08-01-26.gpx
297,296,2024-05-20_08-47-05_Ciclofaixa_Rota_Afonso_Olindense_-_av._prof._Luiz_Freire_2024-05-20_08-47-05.gpx,2024-05-20_08-46-59_ciclofaixa_rota_Afonso_olindense_av_prof_Luiz_freire_2024-05-20_08-46-59.gpx
298,299,2024-05-20_09-14-53_Ciclorrota_Afonso_Olindense_2024-05-20_09-14-53.gpx,2024-05-20_09-15-56_ciclorrota_Afonso_olindense_2024-05-20_09-15-56.gpx
300,301,2024-05-20_09-55-50_Área_compartilhada_praça_da_Várzea_2024-05-20_09-55-50.gpx,2024-05-20_09-55-57_área_compartilhada_praça_da_varzea_2024-05-20_09-55-57.gpx
302,303,2024-05-20_10-13-49_CICLOFAIXA_AFONSO_OLINDENSE_2024-05-20_10-13-49.gpx,2024-05-20_10-13-55_ciclofaixa_Afonso_olindense_2024-05-20_10-13-55.gpx
304,305,2024-05-20_11-28-18_CICLOFAIXA_BEBERIBE_2024-05-20_11-28-18.gpx,2024-05-20_11-28-27_ciclofaixa_beberibe_2024-05-20_11-28-27.gpx
306,000,2024-05-20_12-46-06_ciclorrota_Sebastião_salazar_2024-05-20_12-46-06.gpx,
308,309,2024-05-20_13-06-24_Ciclofaixa_Sebastião_Salazar_2024-05-20_13-06-24.gpx,2024-05-20_13-06-26_ciclofaixa_Sebastião_baltazar_2024-05-20_13-06-26.gpx
310,311,2024-05-20_13-23-24_Ciclovia_Rio_Beberibe_2024-05-20_13-23-24.gpx,2024-05-20_13-23-47_ciclovia_Rio_beberibe_2024-05-20_13-23-47.gpx
314,259,2024-05-20_17-20-07_Rua_treze_de_maio_2024-05-20_17-20-07.gpx,2024-05-15_17-59-41_2024-05-15_17-59-41.gpx
317,000,2024-05-21_13-05-17_Ciclovia_Orla_(AV_Boa_viagem)_2024-05-21_13-05-17.gpx,
318,000,"2024-05-21_13-49-16_Rua_Comendador_Moraes,_Rua_do_Jaú_2024-05-21_13-49-16.gpx",
319,000,"2024-05-21_13-56-40_Rua_Marechal_Hermes,_Av._Brasília_Formosa_2024-05-21_13-56-40.gpx",
320,000,2024-05-21_15-00-37_ciclovia_Praça_da_bandeira_2024-05-21_15-00-37.gpx,
