id,name,type,code,scode,seg_length,full_id,osm_id,osm_type,highway
way/821123750,Rua Conde de Irajá,Ciclofaixa,21,0,266,w130922739,130922739,way,secondary
way/821123755,Avenida Luiz de Lacerda,Ciclofaixa,61,0,66,w460423890,460423890,way,residential
way/821123755,Avenida Luiz de Lacerda,Ciclofaixa,61,0,66,w821123754,821123754,way,residential
way/821123755,Avenida Luiz de Lacerda,Ciclofaixa,61,0,66,w607122239,607122239,way,tertiary
way/821123755,Avenida Luiz de Lacerda,Ciclofaixa,61,0,66,w836834972,836834972,way,tertiary
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w206614893,206614893,way,residential
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w306168728,306168728,way,residential
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w336127336,336127336,way,residential
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w336127342,336127342,way,residential
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w589445950,589445950,way,residential
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w589445951,589445951,way,residential
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w624878409,624878409,way,residential
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w821123756,821123756,way,residential
way/821123758,Rua Professor Antônio Coelho,Ciclofaixa,55,0,0.33,w821123759,821123759,way,residential
way/823189908,Rua Márcia Mendes,Ciclovia,310,311,296,w142643465,142643465,way,tertiary
way/823189932,Rua Bacharel Severino Torres Galindo do Nascimento,Ciclovia,379,0,571,w222822230,222822230,way,residential
way/823189932,Rua Bacharel Severino Torres Galindo do Nascimento,Ciclovia,379,0,571,w642397265,642397265,way,residential
way/824376341,Rua Alegre,Ciclofaixa,304,305,52,w317189750,317189750,way,primary
way/824376341,Rua Alegre,Ciclofaixa,304,305,52,w132398667,132398667,way,secondary
way/824376343,Avenida Beberibe,Ciclorrota,304,305,179,w142613292,142613292,way,residential
way/824376343,Avenida Beberibe,Ciclorrota,304,305,179,w166893040,166893040,way,residential
way/824376343,Avenida Beberibe,Ciclorrota,304,305,179,w166896274,166896274,way,residential
way/824376343,Avenida Beberibe,Ciclorrota,304,305,179,w166896357,166896357,way,residential
way/824376343,Avenida Beberibe,Ciclorrota,304,305,179,w142229290,142229290,way,primary
way/824376343,Avenida Beberibe,Ciclorrota,304,305,179,w151272933,151272933,way,primary
way/824376343,Avenida Beberibe,Ciclorrota,304,305,179,w317985692,317985692,way,primary
way/824376343,Avenida Beberibe,Ciclorrota,304,305,179,w142613354,142613354,way,tertiary
way/836834959,Ciclovia Mimoso do Sul,Ciclovia,132,133,844,w161831681,161831681,way,residential
way/836834959,Ciclovia Mimoso do Sul,Ciclovia,132,133,844,w163149487,163149487,way,residential
way/836834959,Ciclovia Mimoso do Sul,Ciclovia,132,133,844,w163149488,163149488,way,residential
way/836834959,Ciclovia Mimoso do Sul,Ciclovia,132,133,844,w163150040,163150040,way,residential
way/836834959,Ciclovia Mimoso do Sul,Ciclovia,132,133,844,w320810710,320810710,way,residential
way/836834959,Ciclovia Mimoso do Sul,Ciclovia,132,133,844,w320810711,320810711,way,residential
way/836834959,Ciclovia Mimoso do Sul,Ciclovia,132,133,844,w452708015,452708015,way,residential
way/836834959,Ciclovia Mimoso do Sul,Ciclovia,132,133,844,w836834958,836834958,way,residential
way/836834960,Via Mangue - Pista Leste,Ciclovia,47,0,54,w836834960,836834960,way,primary
way/836834963,Avenida Engenheiro Alves Souza,Ciclofaixa,25,0,146,w152291927,152291927,way,residential
way/836834963,Avenida Engenheiro Alves Souza,Ciclofaixa,25,0,146,w367994067,367994067,way,residential
way/836834963,Avenida Engenheiro Alves Souza,Ciclofaixa,25,0,146,w367994068,367994068,way,residential
way/836834963,Avenida Engenheiro Alves Souza,Ciclofaixa,25,0,146,w367994069,367994069,way,residential
way/836834963,Avenida Engenheiro Alves Souza,Ciclofaixa,25,0,146,w152291431,152291431,way,tertiary
way/836834963,Avenida Engenheiro Alves Souza,Ciclofaixa,25,0,146,w854786901,854786901,way,tertiary
way/836834964,Rua Arquiteto Luíz Nunes,Ciclofaixa,20,0,199,w136954066,136954066,way,secondary
way/836834964,Rua Arquiteto Luíz Nunes,Ciclofaixa,20,0,199,w836834965,836834965,way,secondary
way/836834964,Rua Arquiteto Luíz Nunes,Ciclofaixa,20,0,199,w152291434,152291434,way,tertiary
way/836834968,Rua Três de Março,Ciclofaixa,59,0,34,w314754232,314754232,way,residential
way/836834968,Rua Três de Março,Ciclofaixa,59,0,34,w836834968,836834968,way,residential
way/836834968,Rua Três de Março,Ciclofaixa,59,0,34,w836834969,836834969,way,residential
way/836834976,Avenida Professor José dos Anjos,Ciclofaixa,381,0,17,w135143523,135143523,way,primary
way/836834976,Avenida Professor José dos Anjos,Ciclofaixa,381,0,17,w863027568,863027568,way,primary
way/836834976,Avenida Professor José dos Anjos,Ciclofaixa,381,0,17,w135138775,135138775,way,secondary
way/836834976,Avenida Professor José dos Anjos,Ciclofaixa,381,0,17,w135138776,135138776,way,secondary
way/836834976,Avenida Professor José dos Anjos,Ciclofaixa,381,0,17,w836834977,836834977,way,secondary
way/836834976,Avenida Professor José dos Anjos,Ciclofaixa,381,0,17,w863027567,863027567,way,secondary
way/836834977,Estrada Velha de Água Fria,Ciclofaixa,304,305,301,w135143523,135143523,way,primary
way/836834977,Estrada Velha de Água Fria,Ciclofaixa,304,305,301,w836834976,836834976,way,primary
way/836834977,Estrada Velha de Água Fria,Ciclofaixa,304,305,301,w135138775,135138775,way,secondary
way/836834978,Avenida Beberibe,Ciclofaixa,304,305,231,w166894136,166894136,way,residential
way/836834978,Avenida Beberibe,Ciclofaixa,304,305,231,w132398668,132398668,way,primary
way/836834978,Avenida Beberibe,Ciclofaixa,304,305,231,w382147745,382147745,way,primary
way/836834978,Avenida Beberibe,Ciclofaixa,304,305,231,w317189755,317189755,way,secondary
way/836834979,Avenida Cidade de Monteiro,Ciclofaixa,308,309,132,w317313978,317313978,way,secondary
